colonyID2,CN.colony.mass,N.percent.colony,C.percent.colony,P.ave.colony,P.mass.colony,lat,MAP,DRT,APS,MAT,colonyID,P.ave.percent.colony
ABP4,,,,-2.083240103,0.602,42.7196,959,117,13,8.4,ABP4,0.825581395
APB10,0.487166668,10.516469,54.85627683,-2.112881459,0.5095,42.7196,959,117,13,8.4,APB10,0.771113917
APB3,0.414000005,9.252481143,56.79372787,-2.087280827,0.4495,42.7196,959,117,13,8.4,APB3,0.817935718
APB6,0.388333331,10.82729086,54.69745255,-2.050617344,0.37,42.7196,959,117,13,8.4,APB6,0.889984936
APB7,0.412999988,10.06716824,56.69819069,-2.112242964,0.5735,42.7196,959,117,13,8.4,APB7,0.772248433
BARD3,0.711000026,10.06732464,55.52775956,-2.150759828,0.641,42.0177,1054,125,11,9.1,BARD3,0.706708268
BARD5,0.869333327,9.039816856,59.06047567,-2.196563753,0.838,42.0177,1054,125,11,9.1,BARD5,0.63596944
BEAR4,0.442499995,10.53208447,54.28030968,-2.010468153,0.5375,43.0975,1053,127,9,7.6,BEAR4,0.976184364
BEAR6,0.457000003,10.3364358,54.82486916,-2.091495764,0.558,43.0975,1053,127,9,7.6,BEAR6,0.810035842
BEAR7,0.405666669,11.20479711,54.27786509,-2.042407986,0.369,43.0975,1053,127,9,7.6,BEAR7,0.906968103
BRAD3,0.377500013,10.61442662,54.72801399,-2.064779065,0.433,44.9341,1065,117,12,6.1,BRAD3,0.861431871
BRAD4,0.601999998,10.14796511,56.55379613,-2.101823094,0.566333333,44.9341,1065,117,12,6.1,BRAD4,0.791000769
BRM10,,,,-2.068698062,0.529,41.4039,1156,113,9,9.6,BRM10,0.853693428
BRM11,,,,-2.147890776,0.79,41.4039,1156,113,9,9.6,BRM11,0.711392405
BRM2,0.373000011,9.545824528,55.55676079,,,41.4039,1156,113,9,9.6,NA,NA
BRM3,0.445666671,10.04411729,54.71453603,-2.066047613,0.418,41.4039,1156,113,9,9.6,BRM3,0.85891935
BRM4,0.529999991,10.46741581,55.29055405,-2.121156487,0.574666667,41.4039,1156,113,9,9.6,BRM4,0.756560239
BRM5,,,,-2.066440477,0.529,41.4039,1156,113,9,9.6,BRM5,0.858142722
BRM7,0.553000003,10.18784619,55.2516098,,,41.4039,1156,113,9,9.6,BRP7,0.641911768
BRM8,0.628000021,11.10323572,54.09216499,,,41.4039,1156,113,9,9.6,NA,NA
BRP6,0.509333342,10.78147316,54.44751104,,,35.9264,1406,129,9,11.2,NA,NA
BRP7,0.414333334,10.88423538,54.13704046,-2.192524663,0.431,35.9264,1406,129,9,11.2,NA,NA
BRP8,0.576500029,10.20975399,55.16692543,-2.088857166,0.548,35.9264,1406,129,9,11.2,BRP8,0.814972274
BRP9,0.488333334,10.69868756,54.3152504,-2.085878799,0.4685,35.9264,1406,129,9,11.2,BRP9,0.820580517
DSF11,0.549333334,10.47439543,55.86784871,-2.102214408,0.6705,41.2979,1150,112,14,7.1,DSF11,0.790288371
DW1,0.507333338,8.698573271,58.82598622,,,35.6394,1095,123,11,9.4,DW1,0.837130858
HSP04,0.537,6.681577206,59.49153773,-2.135411999,0.477,41.022,1143,113,15,7.7,HSP04,0.73212966
HSP1,0.47966667,8.395071506,56.78215027,-2.124404042,0.461333333,41.022,1143,113,15,7.7,HSP1,0.750923953
HSP6,0.49149999,9.760966779,54.78963471,-2.077431892,0.436,41.022,1143,113,15,7.7,HSP6,0.8366968
KBH2,0.354000002,10.09519577,55.67253113,-2.179665719,0.366,44.5676,1095,123,11,6.1,KBH2,0.661202186
KBH5,0.577750005,9.704154969,56.35971451,-2.078887406,0.54575,44.5676,1095,123,11,6.1,KBH5,0.83389735
KBH6,0.472500011,9.521500111,56.50442505,-2.04500908,0.4975,44.5676,1095,123,11,6.1,KBH6,0.901552288
KBH8,0.448000014,7.621504784,59.6468544,-2.077206649,0.472,44.5676,1095,123,11,6.1,NA,NA
LGP3,0.437000007,9.989126206,54.84209252,-2.062065929,0.465333333,35.6394,1095,123,11,9.4,LGP3,0.866830274
LGP5,0.524500013,9.910161018,55.73106957,-2.04769167,0.4675,35.6394,1095,123,11,9.4,LGP5,0.89600066
LJAMS1,0.456,10.61112436,53.56419881,-2.041423858,0.521,35.9568,1272,125,14,14.2,LJAMS1,0.909025658
LJAMS3,0.460666676,9.737847966,55.46225993,-2.075954621,0.440666667,35.9568,1272,125,14,14.2,LJAMS3,0.839547706
LV8,0.462000002,8.871114093,58.43339793,,,37.4211,1073,128,10,13.2,NA,NA
LVA11,0.575333337,9.130501111,57.70575205,-2.081841597,0.583666667,37.4211,1073,128,10,13.2,LVA11,0.828244199
LVA2,0.510333339,9.313405991,57.72493235,-2.029260821,0.561333333,37.4211,1073,128,10,13.2,LVA2,0.934844073
LVA3,0.510000011,9.301440239,56.20878728,-2.156189204,0.418,37.4211,1073,128,10,13.2,LVA3,0.697928279
LVA4,0.434666653,8.881863912,57.42471822,,,37.4211,1073,128,10,13.2,NA,NA
LVA7,0.505666673,8.469115734,59.1563886,,,37.4211,1073,128,10,13.2,NA,NA
LVA9,0.591666659,6.49203221,63.61834717,,,37.4211,1073,128,10,13.2,NA,NA
MB06,0.381333341,5.688054085,62.54103597,-2.19656891,0.408666667,44.5,1101,112,18,4.7,MB06,0.635961888
MB1,0.474999994,7.077943484,61.11829504,-2.143660205,0.471,44.5,1101,112,18,4.7,MB1,0.718356119
MB2,0.382333338,6.930046717,62.029658,-2.208701516,0.511,44.5,1101,112,18,4.7,MB2,0.6184413
NOCK6,0.476500005,9.794704436,55.81221581,-2.10159708,0.505,40.4691,1159,115,12,10.6,NOCK6,0.791412526
NOTCH1,0.737500012,10.64144612,54.78035736,-2.057930218,0.59,42.4983,1208,112,9,6.4,NOTCH1,0.875124378
NOTCH3,0.537000001,10.60381222,54.04296875,-2.052247498,0.638,42.4983,1208,112,9,6.4,NOTCH3,0.886650578
NOTCH4,0.538666675,10.4079539,55.12365977,-2.049904196,0.598,42.4983,1208,112,9,6.4,NOTCH4,0.891447568
NSP11,0.532666663,10.87031046,54.76773834,-2.05227754,0.541666667,40.08038,1142,114,13,11.8,NSP11,0.886589247
NSP2,0.544749998,9.609871388,56.05818081,-2.032075817,0.534,40.08038,1142,114,13,11.8,NSP2,0.928804227
NSP3,0.537499979,10.42155504,56.0512085,-2.083858644,0.616666667,40.08038,1142,114,13,11.8,NSP3,0.824406403
RC02,0.412999988,7.902225018,60.31302643,-2.150718968,0.5015,36.0364,1158,132,11,14.4,RC02,0.706774761
RC06,0.470999986,8.577982585,58.75214895,-2.255659308,0.514,36.0364,1158,132,11,14.4,RC06,0.555060973
RC09,0.453999997,8.274630308,59.49868202,-2.216820682,0.458,36.0364,1158,132,11,14.4,RC09,0.6069869
RC15,0.421666662,8.271213214,61.1264089,,,36.0364,1158,132,11,14.4,NA,NA
RC16,0.486000001,7.134217421,61.57589976,-2.246591384,0.5285,36.0364,1158,132,11,14.4,RC16,0.566772299
RW5,0.449000001,9.843227864,54.98941612,-1.999066065,0.514,44.4906,843,116,22,6.7,RW5,1.002152779
SEB2,0.553000004,9.834682942,55.86544419,-2.089144643,0.582,43.9235,1158,123,12,6.9,SEB2,0.81443299
SEB3,0.276500002,8.856312275,55.35828781,-2.049647167,0.324,43.9235,1158,123,12,6.9,SEB3,0.891975309
SEB9,0.514499992,10.47695971,55.16121101,-2.151267675,0.51,43.9235,1158,123,12,6.9,SEB9,0.705882353
UNF3,0.502666672,7.552058538,60.59979375,-2.256410734,0.591,35.3693,1184,129,14,15.3,UNF3,0.554101423
UNF4,0.546999991,7.222931624,63.35665512,,,35.3693,1184,129,14,15.3,NA,NA
UNF6,0.465333342,8.852817216,58.67571386,-2.102513503,0.427666667,35.3693,1184,129,14,15.3,UNF6,0.789744294
UNF7,0.306999996,10.21077124,53.56845093,-2.011776986,0.332666667,35.3693,1184,129,14,15.3,UNF7,0.973246867
UNF8,0.464000007,7.07678318,62.69225438,,,35.3693,1184,129,14,15.3,NA,NA
WP1,0.370000005,9.821694374,55.25839233,,,39.7284,1113,111,12,11.5,NA,NA
WP11,0.481999994,10.09647687,55.52632777,-2.008717946,0.449,39.7284,1113,111,12,11.5,WP11,0.980126325
WP6,0.432000001,10.34540018,54.13375473,-2.014570894,0.549,39.7284,1113,111,12,11.5,WP6,0.96700586
WP8,0.402333339,11.51828289,54.55517578,-2.007374659,0.4825,39.7284,1113,111,12,11.5,WP8,0.983162581
WP9,0.469333331,9.807552019,56.04205958,,,39.7284,1113,111,12,11.5,NA,NA
YM01,0.524999991,8.644525767,59.53598786,-2.274820736,0.723,35.7214,1148,126,13,15.2,YM01,0.531103623
YM02,0.601500005,6.522799015,64.03486824,-2.153917045,0.5265,35.7214,1148,126,13,15.2,YM02,0.701589296
YM03,0.460000008,8.249097824,59.59472656,-2.39823041,0.748,35.7214,1148,126,13,15.2,YM03,0.39973262
